12:22:02.452482 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 128: 216.58.209.74.443 > 192.168.1.70.51688: tcp 62
12:22:02.452503 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.452539 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.452912 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 97: 216.58.209.74.443 > 192.168.1.70.51688: tcp 31
12:22:02.452920 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.453365 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 410: 216.58.209.74.443 > 192.168.1.70.51688: tcp 344
12:22:02.453365 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 1484: 216.58.209.74.443 > 192.168.1.70.51688: tcp 1418
12:22:02.453365 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 1133: 216.58.209.74.443 > 192.168.1.70.51688: tcp 1067
12:22:02.453365 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 105: 216.58.209.74.443 > 192.168.1.70.51688: tcp 39
12:22:02.453375 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.453430 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.453474 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.453492 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.453827 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 150: 192.168.1.70.51688 > 216.58.209.74.443: tcp 84
